name,surname,gender,searching_gender,age,interests,latitude,longitude
Beth,Shaw,F,M,23,"Roller hockey, Movies, Gaming, Paragliding, Orienteering",42.4355,-83.489
Tammy,Gray,N,F,35,"Gardening, Web design, Mathematics, Gaming",39.5204,-81.0684
Casey,Taylor,M,M,31,"Table tennis, Judo, Food criticism, Stand-up comedy, Literature",48.0572,-117.7466
Carrie,Black,F,M,38,"Fishing, Pinball, Rock Climbing, Bar tending, Karate",27.7037,-97.5718
Stephanie,Martinez,F,F,28,"Art history, Gymnastics, Rappelling, Advertising, Hang gliding",38.481,-100.4663
Kevin,Ryan,M,M,36,"Physics, Sketching, Sculpting, Swimming",46.295,-108.9388
Kyle,Brown,M,M,22,"Sewing, Marketing, Art history, Pottery, Synchronized swimming",43.7542,-71.1508
Matthew,Gordon,M,M,26,"American football, Acting, DJing, Cooking, Roller hockey",44.4909,-103.8155
Timothy,Strickland,N,A,24,"Puzzle solving, Field hockey, Nature",42.4489,-73.7941
Kathleen,Taylor,N,A,28,"Weightlifting, Guitar, Rugby, Pinball, Travel",47.8715,-94.9052
Tonya,King,F,M,35,"Gymnastics, Mobile app development, Art history, Interests, Movies",46.1518,-123.852
Kimberly,Dennis,N,N,36,"Equestrian, Running, Baseball",34.3728,-111.2813
Yolanda,Newman,N,M,33,"Skydiving, Jujitsu, Marketing, Board games",47.0435,-88.6715
Joseph,Wise,N,N,23,"Mathematics, Letterboxing, Guitar",34.5522,-90.8542
James,Young,N,B,29,"Teaching, Equestrian, Art history, Advertising",39.6947,-78.797
Jasmine,Scott,N,F,39,"Judo, Pilates, Gardening",30.0484,-82.0725
Stephen,Andrews,N,A,26,"Bouldering, American football, Roller hockey, Writing, Bar tending",37.7656,-81.8578
Richard,Martinez,M,A,19,"Interior design, Equestrian, Skiing",33.7224,-93.1316
Jacqueline,Trevino,N,B,36,"Billiards, Muay Thai, Photography, Movies",42.1488,-91.6205
Roberta,Cross,F,N,19,"Geocaching, Gaming, Billiards, Salsa",40.8123,-73.5696
Stephen,Wilson,N,N,28,"Nature, Writing, Self defense",30.6263,-87.8816
Samantha,Stephenson,N,F,24,"Horseback riding, Astronomy, Boxing, Biking",41.3869,-90.7637
Chad,Jones,M,B,35,"Mobile app development, Dancing, Weightlifting, Filmography, Ballroom dancing",41.47,-95.5429
Michelle,Vargas,F,N,25,"Billiards, Carpentry, Dancing",37.5094,-94.8456
Lori,Garza,N,F,31,"Astrophysics, Movies, Horseback riding, Theater, Treasure hunting",38.4629,-75.2117
Brittany,Glover,F,A,30,"Interior design, Choreography, Poetry",41.7853,-104.265
Jeffrey,Jackson,N,B,35,"Kickboxing, Board games, Sewing, Music",34.5537,-79.1763
Sandra,Howard,F,M,39,"Hiking, Escape rooms, Rock climbing, Astrophysics",39.7644,-89.0467
Miguel,Johnson,M,B,39,"Sculpting, Roller hockey, Self defense, Computer programming",38.877,-75.8264
Kristen,Olson,F,F,38,"Interior design, Wrestling, Dancing, Woodworking",40.7492,-94.62
Shelby,Mason,N,A,20,"Squash, Writing, Filmography, Dancing, Darts",38.5215,-75.2342
Sabrina,Hall,F,N,26,"Improv, Video games, Geocaching",41.6655,-80.3143
Jody,Schmidt,F,B,23,"Volleyball, Hang gliding, Astronomy",40.7003,-75.0121
Carolyn,Jackson,N,B,29,"Art, Air hockey, Food styling, Video games, Painting",38.3049,-92.8244
Wendy,Cooke,F,A,37,"Treasure hunting, Air hockey, Knitting, Public relations, Pool",43.3319,-93.6351
Allen,Brown,M,B,35,"Theater, Ceramics, Ballet, Filmmaking",41.7081,-70.0339
Elizabeth,Harrington,F,B,19,"American football, Surfing, Shuffleboard",41.2932,-89.071
Penny,Moon,F,M,35,"Fashion design, Interior design, Singing",39.3507,-86.6665
Shannon,Willis,N,B,19,"Kickboxing, Photography, Sculpting, Cooking",26.1682,-80.2017
Kyle,Frederick,N,F,35,"Hang gliding, Marketing, Roller hockey, Orienteering",32.7287,-88.3165
Amber,Bowers,N,F,34,"Gymnastics, Food styling, Gardening, Pool, Hang gliding",40.4389,-82.3481
Lori,Russell,F,B,18,"Rock climbing, DJing, Woodworking",40.7492,-94.62
David,Velez,N,B,25,"Art, Filmography, Stock trading, Air hockey",35.7574,-90.0602
Mary,Baker,N,B,33,"Nature Photography, Stand-up comedy, Fitness",37.434,-77.6522
Erin,Contreras,F,F,23,"Escape rooms, Skydiving, Diving",39.9161,-87.9353
Christopher,Hood,N,F,31,"Knitting, Interior design, Golf",36.8991,-82.0784
Nicole,Briggs,F,M,24,"Triathlons, Art history, Wrestling, Biking",63.8723,-145.2158
Eric,Kelly,N,B,32,"Squash, Sculpting, Calligraphy, Improv",32.5215,-81.533
Justin,Malone,N,M,27,"Music, Fashion design, Field hockey, Pool",39.3795,-74.6481
Mark,Hernandez,M,F,22,"Sculpting, Puzzle solving, Data analysis, Ice skating",40.0938,-99.0384
Melanie,Mitchell,F,N,29,"Kickboxing, Dancing, Tennis, Mountain biking, Air hockey",40.8379,-89.8827
April,Jones,F,M,20,"Financial analysis, Art history, Kayaking, Meditation",37.8613,-80.8561
Nicholas,Shepherd,M,F,24,"Pilates, Astronomy, Dancing, Literature, Football",33.3299,-94.3461
Chelsea,Allen,N,M,37,"Table tennis, Journalism, Rock Climbing, Teaching, Ice skating",40.4061,-74.9758
Dennis,Rodriguez,N,A,39,"Travel, Diving, DJing, Fitness",35.1487,-120.6493
Kathryn,Cross,F,N,36,"Skydiving, Cooking, Art history, Table tennis",31.496,-91.4152
Daniel,Peck,N,F,38,"Badminton, Football, Jazz, Orienteering",36.142,-120.3242
Rebecca,Green,F,M,26,"Advertising, Movies, Equestrian, Filmmaking, Mountain biking",28.8563,-81.6771
Gilbert,Williams,M,N,36,"Running, Tennis, Gardening, Jazz, Filmography",37.9299,-75.662
David,Patterson,M,N,32,"Letterboxing, Bowling, Field hockey",26.2577,-98.4407
Molly,Hale,F,A,35,"Polo, Photography, Jazz",44.4761,-95.331
Justin,Wells,N,N,23,"Acting, Public relations, Ice skating, Hang gliding, Food criticism",45.5235,-102.4677
Danielle,Green,F,A,25,"Travel, DJing, Bouldering, Triathlons",38.8753,-98.6989
Michael,Hendrix,M,B,25,"Synchronized swimming, Swimming, Water polo",27.9365,-82.8114
Jacob,Miller,M,M,26,"Rugby, Teaching, Nature Photography",18.0727,-66.6077
Kevin,Williams,M,A,38,"Nature, Weightlifting, Jogging, Road cycling, Muay Thai",34.8297,-77.4591
Melanie,Brock,F,N,32,"Ceramics, Squash, Baseball",33.4552,-85.323
Heather,Lopez,F,A,27,"Snowboarding, Blacksmithing, Running, Sculpting, Video games",48.9502,-122.4545
Kelly,Williams,F,N,25,"Sailing, Investment banking, Soccer",41.283,-80.1831
Crystal,Brown,F,B,35,"Computer programming, Jazz, Rock Climbing, Kiteboarding, Ceramics",38.9525,-94.3995
Denise,Baker,F,B,39,"Nature, Theatre, Baseball, Advertising",45.182,-89.6994
Andre,Estes,M,B,29,"Karate, Geocaching, Tennis, Interior design",38.7285,-88.0839
Matthew,Romero,N,B,34,"Public relations, Darts, Financial analysis, Diving",39.5535,-95.5204
Brenda,Reeves,N,A,19,"Tennis, Public relations, Fitness",41.297,-75.8165
Michael,Martin,M,M,32,"Judo, Tennis, Bouldering, Treasure hunting, Roller hockey",36.036,-90.9736
Christopher,Jackson,N,B,35,"Ethical hacking, Sketching, Guitar",33.4499,-117.6102
Phyllis,Compton,N,N,35,"Rock Climbing, Drawing, Sewing",46.4034,-116.8041
Todd,Moreno,N,F,33,"Web design, Billiards, Reading, Glassblowing",36.6437,-88.6049
Lisa,Wilkins,F,M,26,"Glassblowing, Gaming, Kiteboarding, Darts, Yoga",38.4384,-112.2544
Michelle,Rios,F,B,24,"Table tennis, Bowling, Floristry",32.3681,-96.6543
David,Ball,M,A,39,"Running, Diving, Soccer, Baking",38.5265,-123.0978
Christina,Molina,N,A,37,"Filmography, Physics, Volleyball, Water polo",35.6239,-79.0769
Desiree,Murray,N,F,23,"Singing, Jazz, Billiards",40.249,-103.8432
Valerie,Diaz,F,N,26,"American football, Muay Thai, Paragliding, Landscaping, Advertising",34.8513,-82.4512
Dennis,Pearson,N,N,35,"Kiteboarding, Theater, Billiards, Diving, Biking",44.6489,-92.6189
Gregory,Johnson,M,B,22,"Lacrosse, Escape rooms, Mathematics",31.2385,-89.8828
Donna,Stevenson,F,B,18,"Marketing, Road cycling, Jujitsu",40.8033,-73.3375
Barbara,Edwards,N,M,39,"Skiing, Diving, Guitar, Watercolor",42.8475,-94.848
Mark,Baker,N,M,36,"Hang gliding, Kayaking, Filmography, Jazz, Card games",39.8881,-84.0394
Maria,Levy,F,A,18,"Movies, Poetry, Meditation, Boxing, Horseback riding",40.0301,-90.958
Andrew,Hawkins,M,F,38,"Landscaping, Card games, Shuffleboard, Gardening, Journalism",40.7758,-74.1918
Jennifer,Anderson,N,F,32,"Roller hockey, Yoga, Rock climbing, Rugby",37.1605,-105.0342
